"Sector","College","Type","County","zip code","Address","Latitude","Longitude","Georeferenced Latitude & Longitude","Sector and Type"
"Rural Regional College","NPRC-West Forest","Off-Campus Operation","Forest","16353",,,,,"Rural Regional College - Off-Campus"
"Community College","Erie County Community College","Main Campus Location","Erie","16505","2403 W 8th St., Erie PA 16505","42.1071661","-80.1369863","POINT (-80.1369863 42.1071661)","Community College - Main Campus"
"PASSHE","West Chester University of Pennsylvania","Main Campus Location","Chester","19383","700 S High St, West Chester, PA 19383","39.953396","-75.5981888","POINT (-75.5981888 39.953396)","PASSHE - Main Campus"
"Rural Regional College","NPRC-Corry","Off-Campus Operation","Erie","16407",,,,,"Rural Regional College - Off-Campus"
"Private College/University","King's College","Main Campus Location","Luzerne","18702","133 North River Street, Wilkes-Barre, PA 18702","41.2503754","-75.8798525","POINT (-75.8798525 41.2503754)","Private College/University - Main Campus"
"Rural Regional College","NPRC-Elk/Cameron","Off-Campus Operation","Elk","15857",,,,,"Rural Regional College - Off-Campus"
"Private College/University","Mercyhurst University","Main Campus Location","Erie","16546","501 E 38th St, Erie, PA 16546","42.1041456","-80.0538851","POINT (-80.0538851 42.1041456)","Private College/University - Main Campus"
"Private College/University","Allegheny College","Main Campus Location","Crawford","16335","520 N Main St, Meadville, PA 16335","41.6480894","-80.1452977","POINT (-80.1452977 41.6480894)","Private College/University - Main Campus"
"Community College","HACC-Lebanon","Branch Campus","Lebanon","17042","735 Cumberland St., Lebanon, PA 17042","40.3393252","-76.4231825","POINT (-76.4231825 40.3393252)","Community College - Branch Campus"
"Private College/University","University of Pennsylvania","Main Campus Location","Philadelphia","19104","University of Pennsylvania Philadelphia, PA 19104","39.9493382","-75.189644","POINT (-75.189644 39.9493382)","Private College/University - Main Campus"
"Private College/University","Bryn Mawr College","Main Campus Location","Montgomery","19010","101 N Merion Ave, Bryn Mawr, PA 19010","40.024734","-75.318911","POINT (-75.318911 40.024734)","Private College/University - Main Campus"
