Category,Institution,Type (HigherEducationBySector),County,zip code (HigherEducationBySector),Address (HigherEducationBySector),Latitude (HigherEducationBySector),Longitude (HigherEducationBySector),Sector and Type (HigherEducationBySector),City (HigherEducationInstitutions),Total price for in-district students living on campus  2024-25 (DRVCOST2024) (Cost),Total price for in-state students living on campus 2024-25 (DRVCOST2024) (Cost),Total price for in-district students living off campus (not with family)  2024-25 (DRVCOST2024) (Cost),Total price for in-state students living off campus (not with family)  2024-25 (DRVCOST2024) (Cost),Total price for in-district students living off campus (with family)  2024-25 (DRVCOST2024) (Cost),Total price for in-state students living off campus (with family)  2024-25 (DRVCOST2024) (Cost),State abbreviation (HD2024) (Cost),Distance to Philly (Latitude),Distance to Philly (Longitude),Distance to Pittsburgh (Latitude),Distance to Pittsburgh (Longitude),Distance to Allentown (Latitude),Distance to Allentown (Longitude),Distance to Reading (Latitude),Distance to Reading (Longitude),Distance to Erie (Latitude),Distance to Erie (Longitude),North,East,South,West,Central
Community College,Westmoreland CC-New Kensington,Off-Campus Operation,Westmoreland,15068.0,"1150 5th Avenue, New Kensington, PA 15068",40.5690028,-79.7659396,Community College - Off-Campus,,,,,,,,,0.616402800000003,-4.6013195999999965,0.1303028000000026,0.2312604000000107,-0.033297199999999805,-4.294539599999993,0.2320027999999965,-3.8445395999999903,-1.559997199999998,0.3190603999999979,0,0,1,1,0
Private College/University,Haverford College,Main Campus Location,Delaware,19041.0,"370 Lancaster Ave, Haverford, PA 19041",40.0124552,-75.2998864,Private College/University - Main Campus,,,,,,,,,0.05985520000000122,-0.13526640000000612,-0.4262447999999992,4.697313600000001,-0.5898448000000016,0.17151359999999727,-0.3245448000000053,0.6215136000000001,-2.1165448,4.785113599999988,0,1,1,0,0
Community College,CCP-Northwest,Off-Campus Operation,Philadelphia,19141.0,"1300 W Godfrey Ave, Philadelphia, PA 19141",40.047154,-75.140864,Community College - Off-Campus,,,,,,,,,0.09455400000000225,0.023756000000005884,-0.3915459999999982,4.856336000000013,-0.5551460000000006,0.33053600000000927,-0.28984600000000427,0.7805360000000121,-2.0818459999999988,4.944136,0,1,1,0,0
Private College/University,Valley Forge Military College,Main Campus Location,Delaware,19087.0,"1001 Eagle Rd, Wayne, PA 19087",40.052956,-75.382302,Private College/University - Main Campus,,,,,,,,,0.100356000000005,-0.21768199999999638,-0.3857439999999954,4.614898000000011,-0.5493439999999978,0.089098000000007,-0.2840440000000015,0.5390980000000098,-2.076043999999996,4.702697999999998,0,1,1,0,0
State-Related Commonwealth University,Penn State Harrisburg,Branch Campus,Dauphin,17057.0,"777 W Harrisburg Pike, Middletown, PA 17057",40.1975332,-76.7470173,State-Related Commonwealth University - Branch Campus,,,,,,,,,0.2449332000000055,-1.5823972999999967,-0.2411667999999949,3.2501827000000105,-0.4047667999999973,-1.2756172999999933,-0.139466800000001,-0.8256172999999905,-1.9314667999999955,3.3379826999999977,0,1,0,0,1
Private College/University,Pennsylvania Institute of Technology,Main Campus Location,Delaware,19063.0,"800 Manchester Ave, Media, PA 19063",39.9084449,-75.3888041,Private College/University - Main Campus,,,,,,,,,-0.04415509999999756,-0.22418410000000222,-0.530255099999998,4.608395900000005,-0.6938551000000004,0.08259590000000117,-0.4285551000000041,0.532595900000004,-2.2205550999999986,4.696195899999992,0,1,1,0,0
State-Related Commonwealth University,University of Pittsburgh-Titusville,Branch Campus,Crawford,16354.0,"504 East Main Street, Titusville, PA 16354",41.6287916,-79.6649761,State-Related Commonwealth University - Branch Campus,,,,,,,,,1.6761916000000028,-4.500356100000005,1.1900916000000024,0.33222390000000246,1.0264916,-4.193576100000001,1.2917915999999963,-3.7435760999999985,-0.5002083999999982,0.4200238999999897,1,0,0,1,0
Community College,Luzerne CC-Pittston,Off-Campus Operation,Luzerne,18640.0,"13 South Main Street, Pittston, PA 18640",41.3222834,-75.7906469,Community College - Off-Campus,,,,,,,,,1.3696834000000067,-0.6260268999999994,0.8835834000000062,4.206553100000008,0.7199834000000038,-0.319246899999996,0.9852834000000001,0.13075310000000684,-0.8067165999999943,4.294353099999995,1,1,0,0,0
Private College/University,Moore College of Art & Design,Main Campus Location,Philadelphia,19103.0,"1916 Race St, Philadelphia, PA 19103",39.9568372,-75.1720755,Private College/University - Main Campus,,,,,,,,,0.004237200000005714,-0.0074555000000060545,-0.4818627999999947,4.825124500000001,-0.6454627999999971,0.29932449999999733,-0.3801628000000008,0.7493245000000002,-2.1721627999999953,4.912924499999988,0,1,1,0,0
Private College/University,International Institute for Restorative Practices,Main Campus Location,Northampton,18018.0,"531 Main St, Bethlehem, PA 18018",40.6213192,-75.3822555,Private College/University - Main Campus,,,,,,,,,0.6687192000000053,-0.2176355000000001,0.18261920000000487,4.614944500000007,0.019019200000002456,0.08914450000000329,0.2843191999999988,0.5391445000000061,-1.5076807999999957,4.702744499999994,0,1,0,0,0
